id,answer,explain
160,false,"この場合は、「徐行」ではなく、「一時停止」しなければなりません。"
161,false,"図の標示板は「左折可」の標示板です。一方通行は青地に白矢印の標識です。"
162,true,"転回も右折も３０メートル手前で合図を出すことになっています。"
163,false,"進路変更を終わったときは、その直後に合図をやめます。"
164,true,""
165,false,"路線バス専用通行帯は路線バスの他、問題に示された車の通行が認められています。"
166,true,""
167,false,"一方通行から右折するときはできるだけ道路の右端に寄ってから右折します。"
168,false,""
169,false,"徐行や停止をするときはブレーキをかけることにより制動燈を点灯させて後続車等に合図します。"
170,true,"交通整理が行われている交差点で青信号に従って通行する場合は見通しが悪い場合でも徐行する義務はありません。交通整理が行われていない交差点では徐行する必要がありま す。"
171,true,""
172,true,"多くの学科試験問題では「必ず」や「絶対」等の表現があった場合は間違いのケースが多いのですが、交差点の右左折は必ず徐行が義務づけられているので、この場合は必ずが あっても正解です。"
173,false,"図は転回禁止であることを表す道路標示です。"
174,false,"路線バスが発進しようとしている時は、その発進を妨げないように注意する義務がありますが、停止しているバスを追い越すことは特に禁止されていません。"
175,true,""
176,true,""
177,true,""
178,true,"運転中の携帯電話使用は禁止されています。平成１６年１１月１日からは他車に危険を及ぼさなくても走行中の携帯電話使用は処罰の対象となっています。"
179,false,"横断歩道や自転車横断帯とその手前３０メートル以内の場所では追い越しだけでなく追い抜きも禁止されています。"
180,false,"三つに区分は正しいのですが、原付免許ではなく仮免許を含めて三区分です。"
181,true,"二重追い越しになるかどうかは先頭車両が自動車か原動機付自転車かで変わる場合がありますが、通常の追い越し禁止は原動機付自転車も含めて禁止されています。"
182,true,""
183,false,"図の標示は「前方優先道路あり」です。"
184,true,""
185,false,"けん引自動車の最高速度は６０キロメートル毎時です。"
186,true,""
187,false,""
188,true,""
189,true,""
190,false,""
191,false,"赤点滅信号では必ず一時停止が必要です。"
192,false,""
193,false,""
194,true,""
195,true,""
196,true,""
197,false,"道路の曲がり角では、見通しがよくても徐行が必要です。"
198,true,""
199,false,"こう配の急な下り坂では原動機付自転車も追い越してはいけません。"
200,true,"問題の通りです。できるだけ後部座席にチャイルドシートをつける方が安全です。"
